Filename,language,dur,lartype,family,area,norm.soe
17-to_hit,Frisian,111.41299999999995,h,NA,NA,0.5752355052042409
09-thing-or-matter,Gayo,118.898,h,Austronesian,Papunesia,0.3682471129427994
gentlemen,German,80.594,h,Indo-European,Eurasia,0.16666666666666666
had-1pl,German,92.82899999999998,h,Indo-European,Eurasia,0.3238127804600821
hard,German,91.458,h,Indo-European,Eurasia,0.32883620370795624
hate-1sg,German,109.87899999999999,h,Indo-European,Eurasia,0.38769884989539233
high,German,23.522,h,Indo-European,Eurasia,0.48571917069012316
huts,German,58.224999999999994,h,Indo-European,Eurasia,0.30392980502760847
to-guard,German,38.977999999999994,h,Indo-European,Eurasia,0.24285958534506158
09a-Indian_doctor-shaman,Gitksan,78.692,h,Tsimshianic,North America,0.502411991725331
19a-to_send,Gitksan,136.03,h,Tsimshianic,North America,0.6055820775413772
20a-to_send-REDUP,Gitksan,103.43100000000001,h,Tsimshianic,North America,0.3011528213750671
27a-intestines-guts,Gitksan,130.83,h,Tsimshianic,North America,0.4980965057855597
27b-intestines-guts,Gitksan,131.822,h,Tsimshianic,North America,0.3130401644454575
005-I-1SG,Goemai,143.719,h,Afro-Asiatic,Africa,0.2520864042846588
009-greetings,Goemai,121.01099999999997,h,Afro-Asiatic,Africa,0.19167835484888943
013-tree,Goemai,229.22200000000004,h,Afro-Asiatic,Africa,0.6242000399593094
054-sand,Goemai,220.86400000000003,h,Afro-Asiatic,Africa,0.32623110945685174
055-tooth,Goemai,58.93199999999999,h,Afro-Asiatic,Africa,0.2321956288053134
09-flour-N,Goemai,146.36799999999997,h,Afro-Asiatic,Africa,0.29810575025352903
10-egg-N,Goemai,82.23000000000002,h,Afro-Asiatic,Africa,0.49898540442174805
23-down,Hakka Chinese,122.49700000000001,h,Sino-Tibetan,Eurasia,0.6355398959417923
16-cages,Hamont Dutch,70.275,H,Indo-European,Eurasia,0.3941164715621274
26-hooks,Hamont Dutch,128.876,H,Indo-European,Eurasia,0.3752693058602301
08-shelf-H,Hawaiian,46.43100000000004,h,Austronesian,Papunesia,0.43341676424443387
21-to_praise-H,Hawaiian,60.05000000000001,h,Austronesian,Papunesia,0.32970612222266293
28-to_mend_a_net-H,Hawaiian,88.339,h,Austronesian,Papunesia,0.30852856851366744
30-scooping-H,Hawaiian,64.90200000000004,h,Austronesian,Papunesia,0.2699836613674485
mountain,Hebrew,126.41799999999999,h,Afro-Asiatic,Eurasia,0.5198573672412375
condition,Hindi,110.95200000000001,h,Indo-European,Eurasia,0.22557108674411724
laugh-imp,Hindi,90.517,h,Indo-European,Eurasia,0.23490341359046812
six,Hungarian,84.209,h,Uralic,Eurasia,0.37727243047181336
snow,Hungarian,71.513,h,Uralic,Eurasia,0.26953241315894394
22-pest-or-infection,Indonesian,68.469,h,Indo-European,Papunesia,0.4480573481897811
bridge,Japanese,92.80700000000002,h,Japonic,Eurasia,0.38149748273139017
chopsticks,Japanese,104.696,h,Japonic,Eurasia,0.5527609284036414
degree-extent,Japanese,117.305,h,Japonic,Eurasia,0.626918150437255
end,Japanese,49.251999999999995,h,Japonic,Eurasia,0.41805098289809167
nose,Japanese,88.113,h,Japonic,Eurasia,0.2986073886071843
sidewalk,Japanese,80.91799999999999,h,Japonic,Eurasia,0.5458484730209554
translation,Japanese,39.394999999999996,h,Japonic,Eurasia,0.7550433255133443
050-a_little,Japhug,110.892,h,Sino-Tibetan,Eurasia,0.49364024754609914
21-dog,Kabiye,148.59099999999998,h,Niger-Congo,Africa,0.34176663413873587
21-hearts,Kabiye,135.61700000000002,h,Niger-Congo,Africa,0.3190048967319255
27-farmers,Kabiye,129.382,h,Niger-Congo,Africa,0.35234889882882775
07a_possessions,Kalasha,139.811,h,Indo-European,Eurasia,0.27885923406155744
003_world,Kazakh,128.53499999999997,h,Turkic,Eurasia,0.6585491103201866
05-type_of_spirit,Kera,51.30799999999999,h,Afro-Asiatic,Africa,0.23810046599780796
